VACATE_DATE,BOROUGH,NUMBER_OF_VACATE_ORDERS
11/01/2019 12:00:00 AM,QUEENS,10
11/01/2019 12:00:00 AM,STATEN ISLAND,1
12/01/2019 12:00:00 AM,BROOKLYN,13
12/01/2019 12:00:00 AM,BRONX,10
12/01/2019 12:00:00 AM,MANHATTAN,3
12/01/2019 12:00:00 AM,QUEENS,13
01/01/2020 12:00:00 AM,BROOKLYN,18
01/01/2020 12:00:00 AM,BRONX,16
01/01/2020 12:00:00 AM,MANHATTAN,8
01/01/2020 12:00:00 AM,QUEENS,8
02/01/2020 12:00:00 AM,BROOKLYN,22
02/01/2020 12:00:00 AM,BRONX,15
02/01/2020 12:00:00 AM,MANHATTAN,3
02/01/2020 12:00:00 AM,QUEENS,9
02/01/2020 12:00:00 AM,STATEN ISLAND,2
03/01/2020 12:00:00 AM,BROOKLYN,21
03/01/2020 12:00:00 AM,BRONX,6
03/01/2020 12:00:00 AM,MANHATTAN,9
03/01/2020 12:00:00 AM,QUEENS,6
03/01/2020 12:00:00 AM,STATEN ISLAND,3
04/01/2020 12:00:00 AM,BROOKLYN,15
04/01/2020 12:00:00 AM,BRONX,14
04/01/2020 12:00:00 AM,MANHATTAN,5
04/01/2020 12:00:00 AM,QUEENS,9
04/01/2020 12:00:00 AM,STATEN ISLAND,1
05/01/2020 12:00:00 AM,BROOKLYN,5
05/01/2020 12:00:00 AM,BRONX,2
05/01/2020 12:00:00 AM,MANHATTAN,2
05/01/2020 12:00:00 AM,QUEENS,1
06/01/2020 12:00:00 AM,BROOKLYN,4
06/01/2020 12:00:00 AM,BRONX,6
06/01/2020 12:00:00 AM,MANHATTAN,3
06/01/2020 12:00:00 AM,QUEENS,3
06/01/2020 12:00:00 AM,STATEN ISLAND,1
07/01/2020 12:00:00 AM,BROOKLYN,13
07/01/2020 12:00:00 AM,BRONX,9
07/01/2020 12:00:00 AM,MANHATTAN,4
07/01/2020 12:00:00 AM,QUEENS,5
08/01/2020 12:00:00 AM,BROOKLYN,13
08/01/2020 12:00:00 AM,BRONX,11
08/01/2020 12:00:00 AM,MANHATTAN,10
08/01/2020 12:00:00 AM,QUEENS,6
09/01/2020 12:00:00 AM,BROOKLYN,15
09/01/2020 12:00:00 AM,BRONX,11
09/01/2020 12:00:00 AM,MANHATTAN,4
09/01/2020 12:00:00 AM,QUEENS,12
09/01/2020 12:00:00 AM,STATEN ISLAND,5
10/01/2020 12:00:00 AM,BROOKLYN,12
10/01/2020 12:00:00 AM,BRONX,9
10/01/2020 12:00:00 AM,MANHATTAN,12
10/01/2020 12:00:00 AM,QUEENS,8
10/01/2020 12:00:00 AM,STATEN ISLAND,2
11/01/2020 12:00:00 AM,BROOKLYN,8
11/01/2020 12:00:00 AM,BRONX,6
11/01/2020 12:00:00 AM,MANHATTAN,4
11/01/2020 12:00:00 AM,QUEENS,5
11/01/2020 12:00:00 AM,STATEN ISLAND,2
12/01/2020 12:00:00 AM,BROOKLYN,16
12/01/2020 12:00:00 AM,BRONX,7
12/01/2020 12:00:00 AM,MANHATTAN,9
12/01/2020 12:00:00 AM,QUEENS,13
12/01/2020 12:00:00 AM,STATEN ISLAND,1
01/01/2021 12:00:00 AM,BROOKLYN,19
01/01/2021 12:00:00 AM,BRONX,16
01/01/2021 12:00:00 AM,MANHATTAN,6
01/01/2021 12:00:00 AM,QUEENS,12
01/01/2021 12:00:00 AM,STATEN ISLAND,1
02/01/2021 12:00:00 AM,BROOKLYN,13
02/01/2021 12:00:00 AM,BRONX,5
02/01/2021 12:00:00 AM,MANHATTAN,3
02/01/2021 12:00:00 AM,QUEENS,6
02/01/2021 12:00:00 AM,STATEN ISLAND,2
03/01/2021 12:00:00 AM,BROOKLYN,9
03/01/2021 12:00:00 AM,BRONX,21
03/01/2021 12:00:00 AM,MANHATTAN,10
03/01/2021 12:00:00 AM,QUEENS,16
03/01/2021 12:00:00 AM,STATEN ISLAND,2
04/01/2021 12:00:00 AM,BROOKLYN,12
04/01/2021 12:00:00 AM,BRONX,16
04/01/2021 12:00:00 AM,MANHATTAN,7
04/01/2021 12:00:00 AM,QUEENS,11
05/01/2021 12:00:00 AM,BROOKLYN,8
05/01/2021 12:00:00 AM,BRONX,6
05/01/2021 12:00:00 AM,MANHATTAN,2
05/01/2021 12:00:00 AM,QUEENS,6
05/01/2021 12:00:00 AM,STATEN ISLAND,2
