BORO,VIOLATION_TYPE,DOB_VIOLATION_NUMBER
1,Boilers,16
1,Construction,10053
1,Cranes and Derricks,127
1,Elevators,271
1,Local Law,570
1,Plumbing,27
1,Public Assembly,3
1,Quality of Life,120
1,Signs,107
1,Site Safety,188
1,Unknown,1050
1,Zoning,94
2,Boilers,6
2,Construction,6238
2,Cranes and Derricks,41
2,Elevators,187
2,Local Law,186
2,Plumbing,3
2,Quality of Life,50
2,Signs,48
2,Site Safety,128
2,Unknown,352
2,Zoning,9
3,Boilers,63
3,Construction,15560
3,Cranes and Derricks,153
3,Elevators,152
3,Local Law,180
3,Plumbing,52
3,Public Assembly,1
3,Quality of Life,140
3,Signs,115
3,Site Safety,457
3,Unknown,1631
3,Zoning,156
4,Boilers,4
4,Construction,8585
4,Cranes and Derricks,68
4,Elevators,167
4,Local Law,111
4,Plumbing,21
4,Public Assembly,3
4,Quality of Life,127
4,Signs,63
4,Site Safety,241
4,Unknown,929
4,Zoning,53
5,Boilers,4
5,Construction,1115
5,Cranes and Derricks,8
5,Elevators,18
5,Local Law,15
5,Plumbing,2
5,Quality of Life,1
5,Signs,14
5,Site Safety,30
5,Unknown,100
5,Zoning,10
