YEAR_OF_COMPLAINT,BOROUGH,VIOLATION_TYPE,NUMBER_OF_VIOLATIONS
2020,QUEENS,Cranes and Derricks,68
2020,QUEENS,Elevators,167
2020,QUEENS,Local Law,111
2020,QUEENS,Plumbing,21
2020,QUEENS,Public Assembly,3
2020,QUEENS,Quality of Life,127
2020,QUEENS,Signs,63
2020,QUEENS,Site Safety,241
2020,QUEENS,Unknown,929
2020,QUEENS,Zoning,53
2020,STATEN ISLAND,Boilers,4
2020,STATEN ISLAND,Construction,1115
2020,STATEN ISLAND,Cranes and Derricks,8
2020,STATEN ISLAND,Elevators,18
2020,STATEN ISLAND,Local Law,15
2020,STATEN ISLAND,Plumbing,2
2020,STATEN ISLAND,Quality of Life,1
2020,STATEN ISLAND,Signs,14
2020,STATEN ISLAND,Site Safety,30
2020,STATEN ISLAND,Unknown,100
2020,STATEN ISLAND,Zoning,10
2021,QUEENS,Quality of Life,21
2021,BRONX,Site Safety,22
2021,BROOKLYN,Zoning,32
2021,STATEN ISLAND,Unknown,91
2021,BROOKLYN,Boilers,5
2021,QUEENS,Construction,3624
2021,BROOKLYN,Site Safety,60
2021,STATEN ISLAND,Elevators,2
2021,MANHATTAN,Zoning,16
2021,MANHATTAN,Cranes and Derricks,44
2021,MANHATTAN,Elevators,24
2021,MANHATTAN,Site Safety,69
2021,MANHATTAN,Signs,3
2021,STATEN ISLAND,Zoning,6
2021,BROOKLYN,Signs,1
2021,QUEENS,Signs,1
2021,BRONX,Zoning,2
2021,QUEENS,Elevators,19
2021,BRONX,Unknown,141
2021,STATEN ISLAND,Cranes and Derricks,2
2021,BRONX,Construction,2316
2021,BRONX,Quality of Life,8
2021,MANHATTAN,Construction,3984
2021,BRONX,Boilers,1
2021,MANHATTAN,Unknown,400
2021,QUEENS,Site Safety,57
2021,BROOKLYN,Unknown,451
2021,MANHATTAN,Quality of Life,31
2021,BRONX,Cranes and Derricks,11
2021,QUEENS,Cranes and Derricks,14
2021,QUEENS,Plumbing,4
2021,STATEN ISLAND,Construction,658
2021,BROOKLYN,Cranes and Derricks,29
2021,BRONX,Plumbing,3
2021,STATEN ISLAND,Plumbing,0
2021,QUEENS,Unknown,406
2021,MANHATTAN,Plumbing,8
2021,BROOKLYN,Elevators,11
2021,BROOKLYN,Construction,5746
2021,BRONX,Elevators,26
2021,STATEN ISLAND,Boilers,0
2021,BROOKLYN,Plumbing,12
2021,BROOKLYN,Quality of Life,62
2021,MANHATTAN,Boilers,2
2021,QUEENS,Boilers,0
2021,STATEN ISLAND,Site Safety,9
2021,QUEENS,Zoning,28
2021,STATEN ISLAND,Signs,1
