YEAR,DATE,BOROUGH,FIRE_COUNT,DOB/ECB_VIOLATION_COUNT,NYPD_COMPLAINT_COUNT,HOUSING_CODE_VIOLATION_COUNT,VACATE_ORDER_COUNT
2020,2020-01-01,BRONX,9560.0,7248.0,8352.0,13876.0,16.0
2020,2020-01-01,BROOKLYN,12903.0,18660.0,10810.0,20237.0,18.0
2020,2020-01-01,MANHATTAN,12192.0,12626.0,9812.0,10527.0,8.0
2020,2020-01-01,QUEENS,8964.0,10372.0,7821.0,4635.0,8.0
2020,2020-01-01,STATEN ISLAND,2098.0,1317.0,1608.0,521.0,
2020,2020-02-01,BRONX,8756.0,,7522.0,14188.0,15.0
2020,2020-02-01,BROOKLYN,11972.0,,10032.0,19681.0,22.0
2020,2020-02-01,MANHATTAN,11414.0,,8966.0,9117.0,3.0
2020,2020-02-01,QUEENS,8137.0,,7303.0,4274.0,9.0
2020,2020-02-01,STATEN ISLAND,1948.0,,1484.0,520.0,2.0
2020,2020-03-01,BRONX,6352.0,,7233.0,9932.0,6.0
2020,2020-03-01,BROOKLYN,8632.0,,9559.0,15111.0,21.0
2020,2020-03-01,MANHATTAN,7517.0,,7666.0,7363.0,9.0
2020,2020-03-01,QUEENS,5759.0,,6559.0,3323.0,6.0
2020,2020-03-01,STATEN ISLAND,1435.0,,1384.0,470.0,3.0
2020,2020-04-01,BRONX,7700.0,,5789.0,2339.0,14.0
2020,2020-04-01,BROOKLYN,9875.0,,7317.0,4966.0,15.0
2020,2020-04-01,MANHATTAN,7066.0,,5161.0,1447.0,5.0
2020,2020-04-01,QUEENS,7277.0,,5315.0,908.0,9.0
2020,2020-04-01,STATEN ISLAND,1616.0,,1147.0,231.0,1.0
2020,2020-05-01,BRONX,8742.0,,7489.0,2936.0,2.0
2020,2020-05-01,BROOKLYN,10958.0,,9400.0,4482.0,5.0
2020,2020-05-01,MANHATTAN,8869.0,,6806.0,1522.0,2.0
2020,2020-05-01,QUEENS,7219.0,,6962.0,686.0,1.0
2020,2020-05-01,STATEN ISLAND,1872.0,,1282.0,216.0,
2020,2020-06-01,BRONX,10576.0,,7306.0,9916.0,6.0
2020,2020-06-01,BROOKLYN,14175.0,,9250.0,12316.0,4.0
2020,2020-06-01,MANHATTAN,11274.0,,7444.0,5646.0,3.0
2020,2020-06-01,QUEENS,9085.0,,7083.0,1760.0,3.0
2020,2020-06-01,STATEN ISLAND,2269.0,,1324.0,398.0,1.0
2020,2020-07-01,BRONX,11864.0,,7482.0,10245.0,9.0
2020,2020-07-01,BROOKLYN,15477.0,,10392.0,15478.0,13.0
2020,2020-07-01,MANHATTAN,12909.0,,8042.0,6178.0,4.0
2020,2020-07-01,QUEENS,10525.0,,7961.0,2296.0,5.0
2020,2020-07-01,STATEN ISLAND,2680.0,,1383.0,371.0,
2020,2020-08-01,BRONX,11654.0,,7916.0,12923.0,11.0
2020,2020-08-01,BROOKLYN,15416.0,,10885.0,19509.0,13.0
2020,2020-08-01,MANHATTAN,12593.0,,8537.0,8558.0,10.0
2020,2020-08-01,QUEENS,12460.0,,8320.0,3222.0,6.0
2020,2020-08-01,STATEN ISLAND,3256.0,,1482.0,444.0,
2020,2020-09-01,BRONX,10514.0,,7535.0,12771.0,11.0
2020,2020-09-01,BROOKLYN,13367.0,,10229.0,18612.0,15.0
2020,2020-09-01,MANHATTAN,11933.0,,8696.0,8814.0,4.0
2020,2020-09-01,QUEENS,9294.0,,7655.0,4131.0,12.0
2020,2020-09-01,STATEN ISLAND,2334.0,,1475.0,436.0,5.0
2020,2020-10-01,BRONX,10491.0,,7921.0,11371.0,9.0
2020,2020-10-01,BROOKLYN,13276.0,,10341.0,15164.0,12.0
2020,2020-10-01,MANHATTAN,11793.0,,9009.0,7581.0,12.0
2020,2020-10-01,QUEENS,8980.0,,7963.0,3370.0,8.0
2020,2020-10-01,STATEN ISLAND,2252.0,,1491.0,514.0,2.0
2020,2020-11-01,BRONX,10580.0,,7588.0,10537.0,6.0
2020,2020-11-01,BROOKLYN,13281.0,,9713.0,17331.0,8.0
2020,2020-11-01,MANHATTAN,11454.0,,7940.0,9069.0,4.0
2020,2020-11-01,QUEENS,9138.0,,7351.0,3644.0,5.0
2020,2020-11-01,STATEN ISLAND,2320.0,,1333.0,440.0,2.0
2020,2020-12-01,BRONX,10839.0,,6859.0,12883.0,7.0
2020,2020-12-01,BROOKLYN,13973.0,,8631.0,19509.0,16.0
2020,2020-12-01,MANHATTAN,11788.0,,7200.0,9352.0,9.0
2020,2020-12-01,QUEENS,9782.0,,6697.0,4444.0,13.0
2020,2020-12-01,STATEN ISLAND,2467.0,,1216.0,870.0,1.0
2021,2021-01-01,BRONX,10796.0,2530.0,,10978.0,16.0
2021,2021-01-01,BROOKLYN,13215.0,6409.0,,17854.0,19.0
2021,2021-01-01,MANHATTAN,11155.0,4581.0,,8400.0,6.0
2021,2021-01-01,QUEENS,8958.0,4174.0,,4417.0,12.0
2021,2021-01-01,STATEN ISLAND,2283.0,769.0,,682.0,1.0
2021,2021-02-01,BRONX,10091.0,,,9647.0,5.0
2021,2021-02-01,BROOKLYN,12964.0,,,15028.0,13.0
2021,2021-02-01,MANHATTAN,10892.0,,,7317.0,3.0
2021,2021-02-01,QUEENS,9356.0,,,3387.0,6.0
2021,2021-02-01,STATEN ISLAND,2118.0,,,377.0,2.0
2021,2021-03-01,BRONX,10672.0,,,18108.0,21.0
2021,2021-03-01,BROOKLYN,13575.0,,,20991.0,9.0
2021,2021-03-01,MANHATTAN,11419.0,,,11650.0,10.0
2021,2021-03-01,QUEENS,9455.0,,,5411.0,16.0
2021,2021-03-01,STATEN ISLAND,2440.0,,,440.0,2.0
2021,2021-04-01,BRONX,10717.0,,,29151.0,16.0
2021,2021-04-01,BROOKLYN,13100.0,,,71592.0,12.0
2021,2021-04-01,MANHATTAN,11744.0,,,24399.0,7.0
2021,2021-04-01,QUEENS,9072.0,,,26217.0,11.0
2021,2021-04-01,STATEN ISLAND,2350.0,,,1483.0,
2021,2021-05-01,BRONX,1856.0,,,8576.0,6.0
2021,2021-05-01,BROOKLYN,2220.0,,,13015.0,8.0
2021,2021-05-01,MANHATTAN,2064.0,,,6341.0,2.0
2021,2021-05-01,QUEENS,1510.0,,,2930.0,6.0
2021,2021-05-01,STATEN ISLAND,341.0,,,281.0,2.0
2020,2020-01-01,,,,30.0,,
2020,2020-02-01,,,,23.0,,
2020,2020-03-01,,,,19.0,,
2020,2020-04-01,,,,37.0,,
2020,2020-05-01,,,,37.0,,
2020,2020-06-01,,,,43.0,,
2020,2020-07-01,,,,56.0,,
2020,2020-08-01,,,,57.0,,
2020,2020-09-01,,,,61.0,,
2020,2020-10-01,,,,41.0,,
2020,2020-11-01,,,,30.0,,
2020,2020-12-01,,,,29.0,,
