OFNS_DESC,CMPLNT_NUM,CMPLNT_FR_DT
ALCOHOLIC BEVERAGE CONTROL LAW,16,08/01/2019 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,8,09/01/2019 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,7,10/01/2019 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,5,11/01/2019 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,3,12/01/2019 12:00:00 AM
ANTICIPATORY OFFENSES,1,05/01/2018 12:00:00 AM
ANTICIPATORY OFFENSES,1,06/01/2018 12:00:00 AM
ANTICIPATORY OFFENSES,2,07/01/2018 12:00:00 AM
ANTICIPATORY OFFENSES,1,10/01/2018 12:00:00 AM
ANTICIPATORY OFFENSES,1,11/01/2018 12:00:00 AM
ANTICIPATORY OFFENSES,1,01/01/2019 12:00:00 AM
ANTICIPATORY OFFENSES,1,02/01/2019 12:00:00 AM
ANTICIPATORY OFFENSES,1,03/01/2019 12:00:00 AM
ANTICIPATORY OFFENSES,1,04/01/2019 12:00:00 AM
ANTICIPATORY OFFENSES,1,08/01/2019 12:00:00 AM
ANTICIPATORY OFFENSES,4,12/01/2019 12:00:00 AM
ARSON,69,01/01/2018 12:00:00 AM
ARSON,73,02/01/2018 12:00:00 AM
ARSON,57,03/01/2018 12:00:00 AM
ARSON,61,04/01/2018 12:00:00 AM
ARSON,66,05/01/2018 12:00:00 AM
ARSON,67,06/01/2018 12:00:00 AM
ARSON,59,07/01/2018 12:00:00 AM
ARSON,56,08/01/2018 12:00:00 AM
ARSON,76,09/01/2018 12:00:00 AM
ARSON,46,10/01/2018 12:00:00 AM
ARSON,59,11/01/2018 12:00:00 AM
ARSON,88,12/01/2018 12:00:00 AM
ARSON,50,01/01/2019 12:00:00 AM
ARSON,49,02/01/2019 12:00:00 AM
ARSON,54,03/01/2019 12:00:00 AM
ARSON,51,04/01/2019 12:00:00 AM
ARSON,47,05/01/2019 12:00:00 AM
ARSON,62,06/01/2019 12:00:00 AM
ARSON,79,07/01/2019 12:00:00 AM
ARSON,55,08/01/2019 12:00:00 AM
ARSON,57,09/01/2019 12:00:00 AM
ARSON,65,10/01/2019 12:00:00 AM
ARSON,72,11/01/2019 12:00:00 AM
ARSON,54,12/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4073,01/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,3936,02/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4379,03/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4339,04/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4928,05/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4813,06/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4976,07/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4695,08/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4665,09/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4446,10/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4086,11/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,4382,12/01/2018 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,3906,01/01/2019 12:00:00 AM
ASSAULT 3 & RELATED OFFENSES,3636,02/01/2019 12:00:00 AM
